ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff	SimRep
617	20	1e5	1	1	0.0	21
618	20	1e5	1	2	0.0	21
619	Coal	1e5	10	1	0.0	21
620	Coal	1e5	10	2	0.0	21
621	Coal	1e5	5	1	0.0	21
622	Coal	1e5	5	2	0.0	21
623	Coal	1e5	1	1	0.0	21
624	Coal	1e5	1	2	0.0	21
625	Recap	1e5	10	1	0.0	21
626	Recap	1e5	10	2	0.0	21
627	Recap	1e5	5	1	0.0	21
628	Recap	1e5	5	2	0.0	21
629	Recap	1e5	1	1	0.0	21
630	Recap	1e5	1	2	0.0	21
631	5	1e5	10	1	0.0	22
632	5	1e5	10	2	0.0	22
633	5	1e5	5	1	0.0	22
634	5	1e5	5	2	0.0	22
635	5	1e5	1	1	0.0	22
636	5	1e5	1	2	0.0	22
637	10	1e5	10	1	0.0	22
638	10	1e5	10	2	0.0	22
639	10	1e5	5	1	0.0	22
640	10	1e5	5	2	0.0	22
641	10	1e5	1	1	0.0	22
642	10	1e5	1	2	0.0	22
643	20	1e5	10	1	0.0	22
644	20	1e5	10	2	0.0	22
645	20	1e5	5	1	0.0	22
646	20	1e5	5	2	0.0	22
647	20	1e5	1	1	0.0	22
648	20	1e5	1	2	0.0	22
649	Coal	1e5	10	1	0.0	22
650	Coal	1e5	10	2	0.0	22
651	Coal	1e5	5	1	0.0	22
652	Coal	1e5	5	2	0.0	22
653	Coal	1e5	1	1	0.0	22
654	Coal	1e5	1	2	0.0	22
655	Recap	1e5	10	1	0.0	22
656	Recap	1e5	10	2	0.0	22
657	Recap	1e5	5	1	0.0	22
658	Recap	1e5	5	2	0.0	22
659	Recap	1e5	1	1	0.0	22
660	Recap	1e5	1	2	0.0	22
661	5	1e5	10	1	0.0	23
662	5	1e5	10	2	0.0	23
663	5	1e5	5	1	0.0	23
664	5	1e5	5	2	0.0	23
665	5	1e5	1	1	0.0	23
666	5	1e5	1	2	0.0	23
667	10	1e5	10	1	0.0	23
668	10	1e5	10	2	0.0	23
669	10	1e5	5	1	0.0	23
670	10	1e5	5	2	0.0	23
671	10	1e5	1	1	0.0	23
672	10	1e5	1	2	0.0	23
673	20	1e5	10	1	0.0	23
674	20	1e5	10	2	0.0	23
675	20	1e5	5	1	0.0	23
676	20	1e5	5	2	0.0	23
677	20	1e5	1	1	0.0	23
678	20	1e5	1	2	0.0	23
679	Coal	1e5	10	1	0.0	23
680	Coal	1e5	10	2	0.0	23
681	Coal	1e5	5	1	0.0	23
682	Coal	1e5	5	2	0.0	23
683	Coal	1e5	1	1	0.0	23
684	Coal	1e5	1	2	0.0	23
685	Recap	1e5	10	1	0.0	23
686	Recap	1e5	10	2	0.0	23
687	Recap	1e5	5	1	0.0	23
688	Recap	1e5	5	2	0.0	23
689	Recap	1e5	1	1	0.0	23
690	Recap	1e5	1	2	0.0	23
691	5	1e5	10	1	0.0	24
692	5	1e5	10	2	0.0	24
693	5	1e5	5	1	0.0	24
694	5	1e5	5	2	0.0	24
695	5	1e5	1	1	0.0	24
696	5	1e5	1	2	0.0	24
697	10	1e5	10	1	0.0	24
698	10	1e5	10	2	0.0	24
699	10	1e5	5	1	0.0	24
700	10	1e5	5	2	0.0	24
701	10	1e5	1	1	0.0	24
702	10	1e5	1	2	0.0	24
703	20	1e5	10	1	0.0	24
704	20	1e5	10	2	0.0	24
705	20	1e5	5	1	0.0	24
706	20	1e5	5	2	0.0	24
707	20	1e5	1	1	0.0	24
708	20	1e5	1	2	0.0	24
709	Coal	1e5	10	1	0.0	24
710	Coal	1e5	10	2	0.0	24
711	Coal	1e5	5	1	0.0	24
